Year,Term,YearTerm,Subject,Number,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Students,Primary Instructor
2026,Winter,2026-wi,ADV,150,Introduction to Advertising,ONL,23,2,0,0,1,0,0,0,0,0,0,0,0,0,26,"Hall, Steven R"
2026,Winter,2026-wi,ANTH,103,Anthro in a Changing World,ONL,38,1,1,2,0,0,0,0,0,0,0,0,0,0,42,"Patino, Michelle"
2026,Winter,2026-wi,ANTH,246,Forensic Science,ONL,5,18,1,1,2,0,0,1,0,0,0,0,1,0,29,"Reich, Arielle Y"
2026,Winter,2026-wi,ASTR,330,Extraterrestrial Life,ONL,8,27,0,0,0,1,0,0,0,0,0,0,0,0,36,"Looney, Leslie W"
2026,Winter,2026-wi,BADM,275,Intro to Op & Supply Chain Mgt,ONL,0,55,5,0,1,0,0,0,0,0,0,0,0,0,61,"Sumkin, Dmitrii"
2026,Winter,2026-wi,BADM,300,The Legal Environment of Bus,ONL,134,38,1,2,2,0,0,0,1,0,0,0,1,0,179,"Noonan, James R"
2026,Winter,2026-wi,BADM,310,Mgmt and Organizational Beh,ONL,24,93,4,2,0,2,1,0,0,0,0,0,0,0,126,"Ji, Mingshuang"
2026,Winter,2026-wi,BADM,320,Principles of Marketing,ONL,30,65,10,6,0,1,0,2,0,0,0,0,1,0,115,"Liu, Yunchuan"
2026,Winter,2026-wi,BADM,380,International Business,ONL,3,16,2,0,2,0,0,0,0,0,0,2,0,0,25,"Bucheli, Marcelo"
2026,Winter,2026-wi,CLCV,115,Mythology of Greece and Rome,ONL,3,8,5,1,2,1,0,2,1,0,0,0,0,1,23,"Moulita, Maria"
2026,Winter,2026-wi,DANC,100,Intro to Contemporary Dance,ONL,0,19,2,2,1,0,0,0,0,0,0,0,0,1,24,"Wahrendorf, Chelsea M"
2026,Winter,2026-wi,ECON,102,Microeconomic Principles,ONL,55,27,1,5,1,0,0,0,0,0,0,0,0,0,89,"DiIanni, Isaac"
2026,Winter,2026-wi,ECON,103,Macroeconomic Principles,ONL,1,28,11,4,3,2,3,1,1,0,1,0,1,0,56,"Vazquez, Jose J"
2026,Winter,2026-wi,HK,271,Health Equity in the U.S.,ONL,16,14,3,0,0,1,1,1,1,0,0,0,1,0,38,"Frasca, Elizabeth A"
2026,Winter,2026-wi,HK,302,Disability in American Society,ONL,10,7,3,0,0,1,0,0,0,0,0,0,0,0,21,"Rice, Laura A"
2026,Winter,2026-wi,IS,445,Data Visualization,ONL,12,13,1,0,1,0,0,0,1,0,0,0,2,0,30,"Besser, Stephanie A"
2026,Winter,2026-wi,JOUR,200,Introduction to Journalism,ONL,7,10,14,6,4,0,0,0,0,1,0,0,1,0,43,"King, Colleen C"
2026,Winter,2026-wi,MUS,132,Popular Music Studies,ONL,31,42,12,3,3,2,0,1,2,0,0,0,2,0,98,"Eagen-Jones, Megan K"
2026,Winter,2026-wi,MUS,133,Introduction to World Music,ONL,59,33,12,0,1,0,0,0,0,0,0,0,0,0,105,"Smith, Jonathon M"
2026,Winter,2026-wi,PSYC,100,Intro Psych,ONL,2,9,6,6,6,3,1,2,0,0,1,0,2,0,38,"Shenouda, Christine K"
2026,Winter,2026-wi,PSYC,204,Intro to Brain and Cognition,ONL,8,13,6,4,0,3,0,0,1,1,0,0,0,1,36,"Dolcos, Sanda M"
2026,Winter,2026-wi,REL,110,World Religions,ONL,0,26,7,0,0,0,0,2,0,0,1,0,2,0,38,"Ebel, Jonathan H"
2026,Winter,2026-wi,SOC,100,Introduction to Sociology,ONL,30,27,3,2,1,1,0,1,0,0,0,0,1,0,66,"Dill, Brian"
2026,Winter,2026-wi,SPAN,130,Intermediate Spanish,ONL,10,8,3,2,0,3,1,0,0,0,1,0,0,0,28,"Abbott, Annie R"
2026,Winter,2026-wi,SPAN,142,Spanish in the Professions,ONL,16,2,1,2,6,1,1,0,0,0,0,0,0,0,29,"Dutton, Michelle M"
2025,Fall,2025-fa,AAS,100,Intro Asian American Studies,DIS,18,4,2,0,1,1,0,0,0,0,0,0,0,0,26,"Wang, Yu"
2025,Fall,2025-fa,AAS,100,Intro Asian American Studies,DIS,9,6,3,1,2,0,0,1,0,0,0,0,2,0,24,"Charity, Hannah L"
2025,Fall,2025-fa,AAS,100,Intro Asian American Studies,DIS,13,5,2,0,0,0,1,0,0,1,0,0,0,0,22,"Roy, Sayak"
2025,Fall,2025-fa,AAS,100,Intro Asian American Studies,DIS,17,4,0,3,0,1,1,1,0,0,0,0,0,0,27,"Mukhopadhyay, Anirban"
2025,Fall,2025-fa,AAS,200,U.S. Race and Empire,LCD,8,8,1,5,1,3,1,0,0,1,0,0,3,0,31,"Siglos, David G"
2025,Fall,2025-fa,AAS,203,"Race, Science, and Technology",LCD,5,22,2,1,1,0,1,1,2,0,0,0,0,0,35,"Huang, Ningning"
2025,Fall,2025-fa,AAS,211,Asian Americans and the Arts,LCD,0,29,2,0,0,1,0,0,0,0,0,0,0,0,32,"Sawada, Emilia R"
2025,Fall,2025-fa,AAS,215,US Citizenship Comparatively,LCD,3,11,4,3,4,3,2,2,1,0,0,0,0,0,33,"Siglos, David G"
2025,Fall,2025-fa,AAS,258,Muslims in America,LCD,2,20,1,1,1,0,0,0,0,0,0,0,1,0,26,"Rana, Junaid"
2025,Fall,2025-fa,ABE,127,Intro Agric & Biological Engr,LEC,30,10,1,0,2,0,0,0,0,0,0,0,0,0,43,"Bhattarai, Rabin"
2025,Fall,2025-fa,ABE,232,Context Intl Interventions,LCD,10,28,13,4,3,1,1,0,0,0,0,1,0,0,61,"Witmer, Ann-Perry"
2025,Fall,2025-fa,ABE,340,Thermodynamics for ABE,LEC,1,10,11,3,2,0,0,0,0,0,0,0,1,0,28,"Kamruzzaman, Mohammed"
2025,Fall,2025-fa,ABE,430,Project Management,OLC,0,105,0,3,3,0,0,2,0,0,1,0,1,0,115,"Davidson, Paul C"
2025,Fall,2025-fa,ABE,436,Renewable Energy Systems,LEC,8,20,5,6,3,0,0,0,0,0,0,0,0,0,42,"Malvandi, Amir"
2025,Fall,2025-fa,ABE,466,Engineering Off-Road Vehicles,OLC,0,16,3,6,1,0,0,0,0,0,0,0,0,0,26,"Allen, Cody M"
2025,Fall,2025-fa,ABE,488,Bioprocessing Biomass for Fuel,LEC,2,3,8,7,3,3,0,2,0,0,0,0,1,0,29,"Singh, Vijay"
2025,Fall,2025-fa,ACCY,200,Fundamentals of Accounting,ONL,80,56,21,16,9,5,0,0,2,1,0,0,0,0,190,"Zhang, Li"
2025,Fall,2025-fa,ACCY,200,Fundamentals of Accounting,ONL,94,57,33,30,24,14,8,6,1,2,0,0,2,0,271,"Green, Danielle H"
2025,Fall,2025-fa,ACCY,201,Accounting and Accountancy I,LEC,67,43,27,29,24,14,11,13,5,2,4,2,3,3,244,"Fisher, Mitchell B"
2025,Fall,2025-fa,ACCY,201,Accounting and Accountancy I,LEC,66,57,22,23,26,13,9,12,3,3,5,2,3,1,244,"Fisher, Mitchell B"
2025,Fall,2025-fa,ACCY,202,Accounting and Accountancy II,LEC,28,89,44,28,52,13,10,16,5,0,4,0,0,0,289,"Shapland, Julia P"
2025,Fall,2025-fa,ACCY,301,Atg Measurement & Disclosure,LCD,6,8,3,2,4,5,1,3,0,2,3,1,1,0,39,"Wolfe, Karneisha T"
2025,Fall,2025-fa,ACCY,301,Atg Measurement & Disclosure,LCD,9,4,8,8,8,2,0,0,0,0,0,0,0,0,39,"Wolfe, Karneisha T"
2025,Fall,2025-fa,ACCY,301,Atg Measurement & Disclosure,LCD,9,10,1,8,4,1,1,2,3,0,0,1,0,0,40,"Wolfe, Karneisha T"
2025,Fall,2025-fa,ACCY,301,Atg Measurement & Disclosure,LCD,4,7,7,4,6,3,0,2,1,0,2,1,0,1,37,"Vandenberg, Alex J"
2025,Fall,2025-fa,ACCY,301,Atg Measurement & Disclosure,LCD,11,12,4,2,4,3,0,3,1,0,0,0,0,0,40,"Vandenberg, Alex J"
2025,Fall,2025-fa,ACCY,301,Atg Measurement & Disclosure,LCD,7,11,4,2,4,4,4,1,0,1,1,0,0,0,39,"Vandenberg, Alex J"
