Year,Term,Subject,Number,Name,Description,Credit Hours,Section Info,Section Title,Section Credit Hours
2026,Spring,ARTS,221,Fashion Illustration,"This course covers fundamental techniques specific to fashion design using apparel industry best practices. Students will be introduced to hand and computer techniques to create fashion illustrations, technical flats, and fabric renderings. Reflective of the fashion industry, students will be instructed in becoming visual communicators through the composition of concept boards and collection plates. Students will learn the basics of apparel collection design creating several two-dimensional representations of mini-collections with their personal expression. Additional fees may apply. See Class Schedule. A student registered in one or more Art & Design course(s) exhibiting this message, will be assessed a $95 facility use fee once each term. Prerequisite: For Art and Design Majors Only.",3 hours.,"Additional fees may apply. See Class Schedule. A student registered in one or more Art & Design course(s) exhibiting this message, will be assessed a $95 facility use fee once each term. Prerequisite: For Art and Design Majors Only.",,
2026,Spring,ARTS,221,Fashion Illustration,"This course covers fundamental techniques specific to fashion design using apparel industry best practices. Students will be introduced to hand and computer techniques to create fashion illustrations, technical flats, and fabric renderings. Reflective of the fashion industry, students will be instructed in becoming visual communicators through the composition of concept boards and collection plates. Students will learn the basics of apparel collection design creating several two-dimensional representations of mini-collections with their personal expression. Additional fees may apply. See Class Schedule. A student registered in one or more Art & Design course(s) exhibiting this message, will be assessed a $95 facility use fee once each term. Prerequisite: For Art and Design Majors Only.",3 hours.,"Additional fees may apply. See Class Schedule. A student registered in one or more Art & Design course(s) exhibiting this message, will be assessed a $95 facility use fee once each term. Prerequisite: For Art and Design Majors Only.",,
2026,Spring,CLE,799,Advanced Clinical Electives,"Phase 2 and Phase 3 students are eligible to participate in short-term elective opportunities that can enhance their medical education. These electives include clinical opportunities, away rotations, away electives, clinical rotations, and visiting opportunities. Each elective is offered by participating host institutions in the U.S. and around the world. Elective opportunities are available in teaching hospitals, community clinics, and urban or rural sites and are open to clinical or final-year students, as determined by the host institution. 0 to 8 professional hours. Approved for S/U grading only. May be repeated up to 20 hours in the same semester if topics vary, and separate semesters to a maximum of 32 hours. Prerequisite: Restricted to students enrolled in the Carle Illinois College of Medicine.",0 TO 8 hours.,"0 to 8 professional hours. Approved for S/U grading only. May be repeated up to 20 hours in the same semester if topics vary, and separate semesters to a maximum of 32 hours. Prerequisite: Restricted to students enrolled in the Carle Illinois College of Medicine.",ACED Orthopaedic Surg.,
2026,Spring,CS,473,Algorithms,"Design and analysis techniques, approximation algorithms, randomized algorithms and amortized analysis, and advanced topics such as network flow, linear programming, and dynamic data structures, among others. Same as CSE 414 and MATH 473. 4 undergraduate hours. 4 graduate hours. Prerequisite: CS 374 or ECE 374, and one of CS 361, STAT 361, ECE 313, MATH 362, MATH 461, MATH 463 or STAT 400.",4 hours.,"Same as CSE 414 and MATH 473. 4 undergraduate hours. 4 graduate hours. Prerequisite: CS 374 or ECE 374, and one of CS 361, STAT 361, ECE 313, MATH 362, MATH 461, MATH 463 or STAT 400.",,
2026,Spring,CS,473,Algorithms,"Design and analysis techniques, approximation algorithms, randomized algorithms and amortized analysis, and advanced topics such as network flow, linear programming, and dynamic data structures, among others. Same as CSE 414 and MATH 473. 4 undergraduate hours. 4 graduate hours. Prerequisite: CS 374 or ECE 374, and one of CS 361, STAT 361, ECE 313, MATH 362, MATH 461, MATH 463 or STAT 400.",4 hours.,"Same as CSE 414 and MATH 473. 4 undergraduate hours. 4 graduate hours. Prerequisite: CS 374 or ECE 374, and one of CS 361, STAT 361, ECE 313, MATH 362, MATH 461, MATH 463 or STAT 400.",,
2026,Spring,CS,473,Algorithms,"Design and analysis techniques, approximation algorithms, randomized algorithms and amortized analysis, and advanced topics such as network flow, linear programming, and dynamic data structures, among others. Same as CSE 414 and MATH 473. 4 undergraduate hours. 4 graduate hours. Prerequisite: CS 374 or ECE 374, and one of CS 361, STAT 361, ECE 313, MATH 362, MATH 461, MATH 463 or STAT 400.",4 hours.,"Same as CSE 414 and MATH 473. 4 undergraduate hours. 4 graduate hours. Prerequisite: CS 374 or ECE 374, and one of CS 361, STAT 361, ECE 313, MATH 362, MATH 461, MATH 463 or STAT 400.",,4 hours
2026,Spring,CS,473,Algorithms,"Design and analysis techniques, approximation algorithms, randomized algorithms and amortized analysis, and advanced topics such as network flow, linear programming, and dynamic data structures, among others. Same as CSE 414 and MATH 473. 4 undergraduate hours. 4 graduate hours. Prerequisite: CS 374 or ECE 374, and one of CS 361, STAT 361, ECE 313, MATH 362, MATH 461, MATH 463 or STAT 400.",4 hours.,"Same as CSE 414 and MATH 473. 4 undergraduate hours. 4 graduate hours. Prerequisite: CS 374 or ECE 374, and one of CS 361, STAT 361, ECE 313, MATH 362, MATH 461, MATH 463 or STAT 400.",,4 hours
2026,Spring,CS,491,Seminar,"Seminar on topics of current interest as announced in the Class Schedule. 0 to 4 undergraduate hours. 0 to 4 graduate hours. Approved for S/U grading only. May be repeated in the same or separate terms if topics vary to a maximum of 4 hours. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",0 TO 4 hours.,"0 to 4 undergraduate hours. 0 to 4 graduate hours. Approved for S/U grading only. May be repeated in the same or separate terms if topics vary to a maximum of 4 hours. Prerequisite: As specified for each topic offering, see Class Schedule or departmental course description.",Professional Dev Sem,1 hours
2026,Spring,HDFS,105,Intro to Human Development,"Systematic overview of the psychological, biological, familial, and cultural factors related to human growth and development across the life span.",3 hours.,,,
2026,Spring,INFO,333,User Experience Design In Action,"Introduction to principles and techniques of user experience design. Explore UX from different angles, including visual and sensory components, infrastructure and data, and social science evaluation and research methods. Hands-on assignments relate to tried-and-true methods like rapid prototyping, usability or multimodal communication, and emergent areas such as AI-based generation or interactive data visualization. Prerequisite: Restricted to sophomore standing or above.",3 hours.,Prerequisite: Restricted to sophomore standing or above.,,
2026,Spring,IS,504,Sociotechnical Information Systems,"The character, success, and costs/benefits of information technologies are socio-technical matters. Because of this, best practice for IT design and integration relies on participants' ability to understand and create for the totality of those settings, including social and technical dimensions. This course provides students with analytic tools for examining socio-technical settings and experience in applying that knowledge in IT modeling, design and management.",4 hours.,,,
2026,Spring,IS,571,Advanced Topics in Use and Users of Information,"Variety of newly developed and advanced topics courses within the field of Use and Users of Information, intended to augment the existing Information Sciences curricula. May be repeated in the same or separate terms, to a maximum of 16 hours, if topics vary.",2 OR 4 hours.,"May be repeated in the same or separate terms, to a maximum of 16 hours, if topics vary.",Accessibility in Lib Resources,4 hours
2026,Spring,IS,596,Advanced Topics in Human-Centered Design &amp; Systems,"Variety of newly developed and advanced topics courses within the field of Human-Centered Design & Systems, intended to augment the existing Information Sciences curricula. Approved for Letter and S/U grading. May be repeated in the same or separate semesters to a maximum of 16 hours, if topics vary.",2 OR 4 hours.,"Approved for Letter and S/U grading. May be repeated in the same or separate semesters to a maximum of 16 hours, if topics vary.",Global Health Informatics,4 hours
2026,Spring,MSE,308,Materials Laboratory II,"Experiments characterizing mechanical, transport, and electronic properties of materials and the use of optical microscopy, quartz crystal microbalance, and various mechanical testing equipment. Technical communication is refined through the use of lab reports and oral presentations. MSE 307 and MSE 308 are approved for General Education credit only as a sequence. Both courses must be completed to receive Advanced Composition credit. Prerequisite: Credit or concurrent registration in MSE 307 and MSE 406.",3 hours.,MSE 307 and MSE 308 are approved for General Education credit only as a sequence. Both courses must be completed to receive Advanced Composition credit. Prerequisite: Credit or concurrent registration in MSE 307 and MSE 406.,,
2026,Spring,MSE,404,Laboratory Studies in Materials Science and Engineering,Experiments include direct hands-on investigations or are performed through computational approaches. Laboratory experiences include both fundamental studies as well as investigations on more applied topics. 1.5 undergraduate hours. 1.5 graduate hours. May be repeated if topics vary. Prerequisite: MSE 307 and MSE 308 or permission of instructor. Senior standing.,1.5 hours.,1.5 undergraduate hours. 1.5 graduate hours. May be repeated if topics vary. Prerequisite: MSE 307 and MSE 308 or permission of instructor. Senior standing.,Quantum Materials,
2026,Spring,MSE,404,Laboratory Studies in Materials Science and Engineering,Experiments include direct hands-on investigations or are performed through computational approaches. Laboratory experiences include both fundamental studies as well as investigations on more applied topics. 1.5 undergraduate hours. 1.5 graduate hours. May be repeated if topics vary. Prerequisite: MSE 307 and MSE 308 or permission of instructor. Senior standing.,1.5 hours.,1.5 undergraduate hours. 1.5 graduate hours. May be repeated if topics vary. Prerequisite: MSE 307 and MSE 308 or permission of instructor. Senior standing.,Quantum States,
2026,Spring,PHYS,212,University Physics: Elec &amp; Mag,"[IAI Code: PHY912] Coulomb's Law, electric fields, Gauss' Law, electric potential, capacitance, circuits, magnetic forces and fields, Ampere's law, induction, electromagnetic waves, polarization, and geometrical optics. A calculus-based approach for majors in engineering, mathematics, physics, and chemistry. Credit is not given toward graduation for: Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.",4 hours.,Credit is not given toward graduation for: Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.,,
2026,Spring,PHYS,212,University Physics: Elec &amp; Mag,"[IAI Code: PHY912] Coulomb's Law, electric fields, Gauss' Law, electric potential, capacitance, circuits, magnetic forces and fields, Ampere's law, induction, electromagnetic waves, polarization, and geometrical optics. A calculus-based approach for majors in engineering, mathematics, physics, and chemistry. Credit is not given toward graduation for: Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.",4 hours.,Credit is not given toward graduation for: Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.,,
2026,Spring,PHYS,212,University Physics: Elec &amp; Mag,"[IAI Code: PHY912] Coulomb's Law, electric fields, Gauss' Law, electric potential, capacitance, circuits, magnetic forces and fields, Ampere's law, induction, electromagnetic waves, polarization, and geometrical optics. A calculus-based approach for majors in engineering, mathematics, physics, and chemistry. Credit is not given toward graduation for: Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.",4 hours.,Credit is not given toward graduation for: Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.,,
2026,Spring,PHYS,212,University Physics: Elec &amp; Mag,"[IAI Code: PHY912] Coulomb's Law, electric fields, Gauss' Law, electric potential, capacitance, circuits, magnetic forces and fields, Ampere's law, induction, electromagnetic waves, polarization, and geometrical optics. A calculus-based approach for majors in engineering, mathematics, physics, and chemistry. Credit is not given toward graduation for: Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.",4 hours.,Credit is not given toward graduation for: Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.,,
2026,Spring,PHYS,212,University Physics: Elec &amp; Mag,"[IAI Code: PHY912] Coulomb's Law, electric fields, Gauss' Law, electric potential, capacitance, circuits, magnetic forces and fields, Ampere's law, induction, electromagnetic waves, polarization, and geometrical optics. A calculus-based approach for majors in engineering, mathematics, physics, and chemistry. Credit is not given toward graduation for: Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.",4 hours.,Credit is not given toward graduation for: Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.,,
2026,Spring,PHYS,212,University Physics: Elec &amp; Mag,"[IAI Code: PHY912] Coulomb's Law, electric fields, Gauss' Law, electric potential, capacitance, circuits, magnetic forces and fields, Ampere's law, induction, electromagnetic waves, polarization, and geometrical optics. A calculus-based approach for majors in engineering, mathematics, physics, and chemistry. Credit is not given toward graduation for: Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.",4 hours.,Credit is not given toward graduation for: Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.,,
2026,Spring,PHYS,213,Univ Physics: Thermal Physics,"First and second laws of thermodynamics including kinetic theory of gases, heat capacity, heat engines, introduction to entropy and statistical mechanics, and introduction to application of free energy and Boltzmann factor. A calculus-based approach for majors in engineering, mathematics, physics and chemistry. Credit is not given for both PHYS 213 and PHYS 101. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.",2 hours.,Credit is not given for both PHYS 213 and PHYS 101. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.,,
2026,Spring,PHYS,213,Univ Physics: Thermal Physics,"First and second laws of thermodynamics including kinetic theory of gases, heat capacity, heat engines, introduction to entropy and statistical mechanics, and introduction to application of free energy and Boltzmann factor. A calculus-based approach for majors in engineering, mathematics, physics and chemistry. Credit is not given for both PHYS 213 and PHYS 101. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.",2 hours.,Credit is not given for both PHYS 213 and PHYS 101. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.,,
2026,Spring,PHYS,214,Univ Physics: Quantum Physics,"Interference and diffraction, photons and matter waves, the Bohr atom, uncertainty principle, and wave mechanics. A calculus-based course for majors in engineering, mathematics, physics, and chemistry. Credit is not given for both PHYS 214 and PHYS 102. Prerequisite: PHYS 212.",2 hours.,Credit is not given for both PHYS 214 and PHYS 102. Prerequisite: PHYS 212.,,
2026,Spring,PHYS,214,Univ Physics: Quantum Physics,"Interference and diffraction, photons and matter waves, the Bohr atom, uncertainty principle, and wave mechanics. A calculus-based course for majors in engineering, mathematics, physics, and chemistry. Credit is not given for both PHYS 214 and PHYS 102. Prerequisite: PHYS 212.",2 hours.,Credit is not given for both PHYS 214 and PHYS 102. Prerequisite: PHYS 212.,,
2026,Spring,SE,320,Control Systems,"Fundamental control systems and control systems technology. Sensors, actuators, modeling of physical systems, design and implementation of feedback controllers; operational techniques used in describing, analyzing and designing linear continuous systems; Laplace transforms; response via transfer functions; stability; performance specifications; controller design via transfer functions; frequency response; simple nonlinearities. Credit is not given toward graduation for SE 320 and either AE 353 or ME 340. Prerequisite: CS 101 or CS 124, MATH 285, and TAM 212; credit or concurrent registration in ECE 211.",4 hours.,"Credit is not given toward graduation for SE 320 and either AE 353 or ME 340. Prerequisite: CS 101 or CS 124, MATH 285, and TAM 212; credit or concurrent registration in ECE 211.",,
2026,Spring,SHS,577,Advanced Practicum in Speech-Language Pathology,"A mentored experience in which students are paired with a clinical instructor in SHS and provided opportunities to assist and take leadership roles in the ongoing management of clinical cases in a variety of settings. The advanced practicum is designed for students with more than a year of supervised clinical experience (i.e., more than 100 contact hours as defined by the American Speech-Language and Hearing Association - ASHA). Working within a clinical team, the advanced practicum will provide students with: 1) supported opportunities to assist in all aspects of clinical practice (e.g., diagnosis, intervention, documentation, team meetings/planning); 2) take lead clinician and/or case management roles for some cases; 3) opportunities to obtain supervised contact hours and clinical competencies required by the ASHA for certification in Speech-Language Pathology. Additional fees may apply. See Class Schedule. May be repeated with approval in the same term to a maximum of 3 graduate hours or in separate terms to a maximum of 6 graduate hours. Prerequisite: SHS 477. Restricted to students pursuing clinical preparation in speech-language pathology.",1 TO 4 hours.,Additional fees may apply. See Class Schedule. May be repeated with approval in the same term to a maximum of 3 graduate hours or in separate terms to a maximum of 6 graduate hours. Prerequisite: SHS 477. Restricted to students pursuing clinical preparation in speech-language pathology.,,
