Code,Subject
ACCY,Accountancy
ASRM,Actuarial Science and Risk Management
ADV,Advertising
AE,Aerospace Engineering
AFRO,African American Studies
AFST,African Studies
AGCM,Agricultural Communications
AGED,Agricultural Education
ALEC,"Agricultural Leadership, Education, and Communications Program"
ABE,Agricultural and Biological Engineering
ACE,Agricultural and Consumer Economics
ACES,"Agricultural, Consumer and Environmental Sciences"
AFAS,Air Force Aerospace Studies
AIS,American Indian Studies
ANSC,Animal Sciences
ANTH,Anthropology
AHS,Applied Health Sciences Courses
ARAB,Arabic
ARCH,Architecture
ART,Art
ARTD,Art--Design
ARTE,Art--Education
ARTF,Art--Foundation
ARTH,Art--History
ARTS,Art--Studio
AAS,Asian American Studies
ASST,Asian Studies
ASTR,Astronomy
ATMS,Atmospheric Sciences
BASQ,Basque
BIOC,Biochemistry
BIOE,Bioengineering
BSE,Biomedical Sciences and Engineering
BIOP,Biophysics
BCS,Bosnian-Croatian-Serbian
BCOG,Brain and Cognitive Science
BULG,Bulgarian
BUS,Business
BADM,Business Administration
BDI,Business Data and Innovation
BTW,Business and Technical Writing
CHP,Campus Honors Program Courses
CDB,Cell and Developmental Biology
CGGE,Center for the Study of Global Gender Equity
CHBE,Chemical and Biomolecular Engineering
CHEM,Chemistry
CHIN,Chinese
CEE,Civil and Environmental Engineering
CLCV,Classical Civilization
CLE,Clinical Sciences and Engineering
CIC,Committee on Inst Cooperation
CMN,Communication
CB,Comparative Biosciences
CWL,Comparative and World Literature
CSE,Computational Science and Engineering
CS,Computer Science
CW,Creative Writing
CPSC,Crop Sciences
CI,Curriculum and Instruction
CZCH,Czech
DANC,Dance
ESE,"Earth, Society, and Environment"
EALC,East Asian Languages and Cultures
ECON,Economics
EDUC,Education
EPOL,"Education Policy, Organization and Leadership"
ERAM,Education Research and Methods
EDPR,Educational Practice
EPSY,Educational Psychology
ECE,Electrical and Computer Engineering
ES,Energy Systems
ENG,Engineering
ETMA,Engineering Technology and Management for Agricultural Systems
ENGL,English
ESL,English as a Second Language
EIL,English as an International Language
ENVS,Environmental Studies
ENSU,Environmental Sustainability
EURO,European Union Studies
EXP,Exploratory Studies
FIN,Finance
FAA,Fine and Applied Arts
FSHN,Food Science and Human Nutrition
FR,French
GSD,Game Studies and Design
GWS,Gender and Women's Studies
GGIS,Geography & Geographic Information Science
GEOL,Geology
GER,German
GMC,Germanic
GLBL,Global Studies
GC,Graduate College
GRK,Greek
HT,Health Technology
HK,Health and Kinesiology
HBSE,"Healthcare, Biomedical Science and Engineering"
HNDI,Hindi
HIST,History
HORT,Horticulture
HDFS,Human Development and Family Studies
DTX,Human-Centered Design and Design Thinking
HUM,Humanities Courses
IE,Industrial Engineering
INFO,Informatics
IS,Information Sciences
IB,Integrative Biology
ITAL,Italian
JAPN,Japanese
ARTJ,Japanese Arts and Aesthetics
JS,Jewish Studies
JOUR,Journalism
KOR,Korean
LER,Labor and Employment Relations
LA,Landscape Architecture
LAT,Latin
LAST,Latin American and Caribbean Studies
LLS,Latina/Latino Studies
LAW,Law
LCTL,Less Commonly Taught Languages
LAS,Liberal Arts and Sciences
LING,Linguistics
SLCL,"Literatures, Cultures, and Linguistics"
MSE,Materials Science and Engineering
MATH,Mathematics
ME,Mechanical Engineering
MDIA,Media
MACS,Media and Cinema Studies
MDVL,Medieval Studies
MICR,Microbiology
MILS,Military Science
GRKM,Modern Greek
MCB,Molecular and Cell Biology
MIP,Molecular and Integrative Physiology
MUSE,Museum Studies
MUS,Music
MUSC,Music Lessons and Ensembles
NRES,Natural Resources and Environmental Sciences
NS,Naval Science
NE,Neural Engineering
NEUR,Neuroscience
NPRE,"Nuclear, Plasma, and Radiological Engineering"
NUTR,Nutritional Sciences
LEAD,Organizational and Community Leadership
PATH,Pathobiology
PERS,Persian
PHIL,Philosophy
PHYS,Physics
PLPA,Plant Pathology
POL,Polish
PS,Political Science
PORT,Portuguese
PSM,Professional Science Master's Program
PSYC,Psychology
QUEC,Quechua
RST,"Recreation, Sport, and Tourism"
MBA,Regular MBA Program Administration
REL,Religion
RHET,Rhetoric and Composition
RUSS,Russian
REES,"Russian, East European and Eurasian Studies"
SCAN,Scandinavian
SLAV,Slavic
SOCW,Social Work
SOC,Sociology
SAME,South Asian and Middle Eastern Studies
SPAN,Spanish
SPED,Special Education
SHS,Speech and Hearing Science
STAT,Statistics
SBC,Strategic Brand Communication
SWAH,Swahili
SE,Systems Engineering and Design
TE,Technology Entrepreneurship
TMGT,Technology and Management Courses
THEA,Theatre
TAM,Theoretical and Applied Mechanics
TRST,Translation Studies
TURK,Turkish
UKR,Ukrainian
UP,Urban and Regional Planning
VCM,Veterinary Clinical Medicine
VM,Veterinary Medicine Courses
WLOF,Wolof
WLTE,World Language Teacher Education
WRIT,Writing Studies
